,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
TB56189,Tombow Dual Brush 10 Piece Sets (Tropical Palette),85014561891,2.0,14.0,-,-,-,-,28.0,0.0,97.0,Shipped 05/15/2023,87042.0,0.0,ABT DUAL BRSH SET 10/TROPICAL,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561891,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.75
TB62038,Tombow Fudenosuke Brush Pen Set of 2 Black,85014620383,3.0,3.6,-,-,-,-,10.8,0.0,98.0,Shipped 05/15/2023,80505.0,0.0,FUDENOSUKE BRSH PEN HD&SFT BLK,3.0,3.0,0.0,7.55,50.0,3.78,CD,11.34,U-085014620383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999972
ZE01210UPC,Zebra Brush Pen Black Fine,45888012103,12.0,1.36,-,-,-,-,16.32,0.0,99.0,Shipped 05/15/2023,88580.0,0.0,BRUSH PEN SNGL FINE BLACK,12.0,12.0,0.0,2.85,50.0,1.43,PE,17.16,U-045888012103,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.06999999999999984
ZE54012,Zebra M-301 Mechanical Pencils .5mm Black,45888540125,6.0,3.09,-,-,-,-,18.54,0.0,101.0,Shipped 05/15/2023,99646.0,0.0,M-301 MECH PNCL .5MM BLK 2PK,6.0,6.0,0.0,6.48,50.0,3.24,CD,19.44,U-045888540125,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.15000000000000036
TN95960112,Watercolor Pan Set Angora 14 Color,8.71208E+12,6.0,6.38,-,-,-,-,38.28,0.0,113.0,Shipped 05/15/2023,77522.0,0.0,W/C PAN SET ANGORA 14 COLOR,6.0,6.0,0.0,15.95,64.0,5.74,SE,34.44,E-8712079394660,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-0.6399999999999997
PI46543,Pilot Erasable Highlighter Set of 5,72838465436,7.0,3.98,-,-,-,-,27.86,0.0,137.0,Shipped 05/15/2023,81695.0,0.0,FRIXION LT HGHLTR PASTEL 5/CD,7.0,7.0,0.0,8.37,50.0,4.19,CD,29.33,U-072838465436,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.2100000000000004
YO6K,Kozo Japanese Art Paper,31248981608,3.0,11.87,-,-,-,-,35.61,0.0,143.0,Shipped 05/15/2023,101987.0,0.0,KOZO PAPER 10 1/2X13 3/4 10SH,3.0,3.0,0.0,21.99,54.5,10.01,PK,30.03,U-031248981608,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-1.8599999999999994
AWCT2169,Let's Learn to Sew Kit,8.11069E+11,2.0,10.0,-,-,-,-,20.0,0.0,146.0,Shipped 05/15/2023,100170.0,0.0,LETS LEARN TO SEW KIT,2.0,2.0,0.0,20.99,50.0,10.5,EA,21.0,U-811069031269,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.5
AA17358,Mini Ribbon Sculpting Tool Set,82435173580,2.0,6.65,-,-,-,-,13.3,0.0,151.0,Shipped 05/15/2023,72887.0,0.0,RIBBON TOOL METAL 6PC SET,2.0,2.0,0.0,20.99,65.0,7.35,SE,14.7,U-082435173580,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.6999999999999993
TNF1250C,Finetec Artist Pearlescent Watercolor Pan Refill (Amethyst),4.2514E+12,4.0,3.58,-,-,-,-,14.32,0.0,154.0,Shipped 05/15/2023,97711.0,0.0,FNTC CLR SQU PEARL AMETHYST,4.0,4.0,0.0,8.95,64.0,3.22,CD,12.88,E-4251402600176,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-0.3599999999999999
GL960015,Flip-Sketch Sketch Books 5 x 7 Pool,6.96845E+11,4.0,4.11,-,-,-,-,16.44,0.0,155.0,Shipped 05/15/2023,43275.0,0.0,FLIP-SKT BK 5X7 POOL 100SH,4.0,4.0,0.0,10.25,57.5,4.36,BK,17.44,U-696844960152,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.25
GL960030,Flip-Sketch Sketch Books 6 X 9 Mist,6.96845E+11,4.0,5.13,-,-,-,-,20.52,0.0,156.0,Shipped 05/15/2023,43277.0,0.0,FLIP-SKT BK 6X9 MIST 100SH,4.0,4.0,0.0,12.8,57.5,5.44,BK,21.76,U-696844960305,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.3100000000000005
DPDGG04-30,Galaxy Glitter Paint (Red Nebula),7.66218E+11,3.0,1.25,-,-,-,-,3.75,0.0,158.0,Shipped 05/15/2023,88454.0,0.0,GALAXY GLITTR 2OZ RED NEBULA,3.0,3.0,0.0,3.32,55.0,1.49,BO,4.47,U-766218112057,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.24
ELE-309,Glue School Elmer's 9 Ounce Clear,26000003094,4.0,4.25,-,-,-,-,17.0,0.0,162.0,Shipped 05/15/2023,81348.0,0.0,ELMERS CLEAR SCHOOL GLUE 9 OZ,4.0,4.0,0.0,8.5,55.0,3.83,EA,15.32,U-026000003094,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,-0.41999999999999993
MR0145000101,Graphix Aqua Pen 6 Color Set Make Manga,4.00775E+12,4.0,7.65,-,-,-,-,30.6,0.0,166.0,Shipped 05/15/2023,84647.0,0.0,GRAPX AQUA PEN MAKEMANGA SET/6,4.0,4.0,0.0,17.99,55.0,8.1,SE,32.4,E-4007751629128,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.4499999999999993
AA17348,Double Ball Stylus Embossing Tool,82435173481,3.0,1.17,-,-,-,-,3.51,0.0,172.0,Shipped 05/15/2023,22108.0,0.0,DBL BALL STYLUS EMBOSS TOOL,3.0,3.0,0.0,3.89,65.0,1.36,CD,4.08,U-082435173481,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.19000000000000017
JAJID1301,Dye Fixative for Natural Fibers,7.43772E+11,3.0,2.55,-,-,-,-,7.65,0.0,174.0,Shipped 05/15/2023,56828.0,0.0,DYE FIXATIVE 14GM PK,3.0,3.0,0.0,5.19,50.0,2.6,PK,7.8,U-743772027287,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.050000000000000266
PLPTS-15,Dyeing Pastel Set of 15,72512009291,6.0,2.63,-,-,-,-,15.78,0.0,175.0,Shipped 05/15/2023,5142.0,0.0,DYEING PASTEL SET OF 15,6.0,6.0,0.0,5.25,52.5,2.49,SE,14.94,U-072512009291,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,-0.13999999999999968
FC166399,Ecco Pigment Pen Black (.3mm),4.0054E+12,5.0,1.45,-,-,-,-,7.25,0.0,177.0,Shipped 05/15/2023,74823.0,0.0,ECCO PIGMNT FIBRE TIP 0.3 BLK,5.0,5.0,0.0,3.25,52.5,1.54,PE,7.7,E-4005401663997,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.09000000000000008
